id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
794696802406920855,Lovely studio in Hell's Kitchen!,43305568,Rüya,Manhattan,Hell's Kitchen,40.76227179690797,-73.995836387426,Entire home/apt,,30,11,2024-03-01,0.69,1,0,5,
6713005,Large one bedroom,35144920,Kevin,Manhattan,Upper East Side,40.76751,-73.95517,Private room,,30,0,,,1,0,0,
54294086,Luxury 1- bedroom rental unit with Hot tub,440355290,Tavian,Queens,Jamaica,40.69739,-73.79279,Private room,342,30,0,,,1,365,0,
1039262508734112133,Private room close to LGA,430854617,Bryan,Queens,East Elmhurst,40.75878941539308,-73.86792271864573,Private room,105,1,19,2024-04-27,3.77,3,242,19,Exempt
922527181364298444,New Flushing Modern Apartment,420975523,Will,Queens,Flushing,40.7544041020624,-73.832370227907,Entire home/apt,202,30,11,2023-10-02,1.10,3,180,11,
1066034452713537152,"Basic Room, Great Area.",527091799,SkyLake,Queens,East Elmhurst,40.756428976942765,-73.8808170712127,Private room,51,30,0,,,1,269,0,
25274961,Beautiful cozy Room,37842947,Heena,Queens,Woodside,40.75407,-73.9019,Private room,125,30,4,2021-09-05,0.06,1,83,0,
692726447958336704,The Merchant Marine,83143535,Michelle,Brooklyn,Crown Heights,40.67713,-73.94221,Private room,70,30,57,2023-11-07,2.73,13,364,27,
1105761506522150980,"4 Bedroom, Hudson Yard",381698920,Hudson,Manhattan,Hell's Kitchen,40.75408,-73.99713,Entire home/apt,1200,2,0,,,36,262,0,Exempt
1020283766470214850,Modern Private Bedroom,483056418,Kristina,Brooklyn,Crown Heights,40.67778,-73.94343,Private room,44,30,0,,,26,269,0,
1002484994039026798,Cozy 3 bedroom apt in Astoria .,37576614,Natalie,Queens,Ditmars Steinway,40.7701309701688,-73.90231003724305,Private room,129,30,0,,,2,88,0,
908911613377383627,Private Modern 1BR near JFK/LGA: Cozy Retreat,421342108,Saiful,Queens,Jamaica,40.708208103469175,-73.78746642502455,Entire home/apt,100,30,0,,,1,364,0,
52582634,Modern 3Bd Apartment - 20 Min to Manhattan,418115272,Billy,Queens,Bayside,40.77013,-73.76992,Entire home/apt,175,30,24,2023-03-25,0.77,3,271,0,
763890975846846541,Ny216,7621768,Ray & Kenia,Bronx,Williamsbridge,40.8789,-73.85867,Private room,97,30,0,,,1,365,0,
22252595,Perfect Stay to see all of Manhattan Sites,26984764,Lawrence,Queens,Long Island City,40.74228,-73.95708,Private room,,30,1,2018-01-02,0.01,1,0,0,
985784657564256643,Room in Dyker  Heights,75760509,Mohamed,Brooklyn,Dyker Heights,40.61732,-74.01635,Private room,50,30,0,,,1,88,0,
914503982420675976,Rent $3500 security $1500,520193615,Kimberly,Staten Island,Concord,40.600774112365634,-74.0817642894744,Entire home/apt,90,365,0,,,1,365,0,
19459142,Comfy stay!,135696084,Dustin,Manhattan,Kips Bay,40.74048,-73.98262,Private room,,30,0,,,1,0,0,
39125813,Brand new construction nobody lived before 750sq,77290831,Nas,Staten Island,Prince's Bay,40.52339,-74.20517,Entire home/apt,118,30,3,2022-06-25,0.13,1,179,0,
9379983,Gooood Morning America!,48664130,Connor,Manhattan,Theater District,40.75726,-73.98523,Entire home/apt,,30,1,2015-12-06,0.01,1,0,0,
757033482728119535,Cheerful 1 bedroom with free parking on premises.,422337306,Dewyane And Ann,Queens,Springfield Gardens,40.66607,-73.76119,Entire home/apt,88,30,50,2023-11-11,2.82,1,152,28,
1135764584124579607,Nice apartment,248530839,Veronica,Brooklyn,Sunset Park,40.646094956631345,-73.99895320050763,Private room,77,30,0,,,1,269,0,
15732405,Enjoy the city life without the noise,101643312,Tony,Queens,Bellerose,40.73015,-73.73872,Entire home/apt,300,30,0,,,2,180,0,
